age,income,education,work,car,default
27,32,0,0,1,0
26,50,1,0,0,0
35,20,0,1,0,0
35,80,1,1,0,0
24,27,0,0,0,0
35,35,0,0,1,0
35,20,0,0,0,0
55,8,0,0,1,1
34,30,1,0,1,0
42,60,1,0,0,0
45,22,0,0,0,0
67,20,0,0,1,0
21,30,0,0,0,1
36,90,0,0,0,0
29,30,1,1,0,0
62,35,0,0,0,0
55,90,0,0,1,0
25,60,1,0,1,0
43,20,0,0,0,0
47,30,0,0,0,0
55,15,0,0,0,0
47,25,0,0,0,0
58,32,0,0,1,1
26,17,0,1,1,0
40,37,1,0,1,1
26,32,0,0,1,0
61,8,0,0,0,1
45,20,1,0,0,0
35,25,1,0,1,0
43,40,0,0,0,0
43,22,0,0,0,0
46,65,1,0,0,0
62,18,0,0,0,0
39,7,0,1,0,0
35,50,1,1,0,0
21,45,1,0,0,0
30,150,1,0,1,0
38,35,0,1,1,0
27,25,0,0,0,1
31,30,1,0,1,0
26,17,1,1,0,0
47,35,0,0,1,0
41,16,0,0,0,0
40,25,1,0,0,1
31,50,1,0,0,0
39,43,0,0,1,0
52,38,1,1,0,0
39,18,0,0,1,0
37,50,0,0,1,0
26,27,0,0,1,1
35,30,0,0,0,0
47,45,0,0,0,0
54,60,0,0,1,0
43,30,0,0,0,0
30,160,1,1,0,0
25,50,0,1,0,0
29,60,0,1,1,0
30,156,1,1,1,0
35,22,0,0,0,0
33,15,1,0,0,0
23,50,0,1,1,0
30,90,0,0,0,0
30,45,0,1,1,1
48,18,0,0,1,0
37,50,0,0,1,0
29,25,1,1,0,0
33,200,1,1,1,0
28,40,0,0,0,0
28,25,0,0,0,0
62,300,0,0,1,0
38,15,0,0,0,0
31,290,1,1,1,0
44,35,1,0,1,0
31,50,1,0,0,0
56,8,0,0,0,0
36,45,1,0,1,0
29,14,0,0,0,0
46,25,0,0,0,1
50,20,0,0,0,0
23,22,0,0,0,0
45,50,0,0,1,0
27,18,0,1,0,0
35,90,1,1,1,0
25,65,1,0,0,0
64,100,1,0,0,0
57,30,1,0,0,0
43,90,1,0,0,0
25,35,0,0,0,1
37,39,1,0,0,0
40,50,0,1,1,0
34,45,0,0,0,0
29,30,1,0,0,0
28,40,0,1,1,0
25,2,0,0,0,0
30,20,0,0,1,1
33,35,1,0,0,0
29,15,1,1,0,0
32,40,1,1,0,0
38,45,0,0,0,1
24,30,0,0,0,0
31,120,1,0,1,0
53,50,0,0,1,0
51,17,0,0,0,0
42,80,1,0,1,1
34,30,1,0,0,0
42,21,0,1,1,1
50,50,1,0,0,0
45,22,0,0,0,0
27,250,0,0,1,0
38,65,0,0,0,1
35,150,0,1,1,0
44,35,0,0,0,0
39,25,0,0,0,0
43,30,1,0,0,0
34,50,1,1,1,0
46,80,1,1,1,0
40,30,1,0,0,0
27,20,1,0,1,0
28,40,0,0,0,0
34,50,1,1,0,0
60,8,1,0,0,0
46,115,0,0,1,0
50,35,0,0,0,0
51,55,0,1,0,0
25,7,0,1,1,1
25,15,0,0,1,0
25,55,0,0,0,0
26,40,0,0,0,0
65,30,0,0,0,0
40,20,1,0,0,0
29,50,0,0,1,0
46,70,1,0,0,0
29,300,1,0,0,0
48,27,0,0,1,0
60,35,0,0,0,0
26,280,0,1,0,0
24,35,0,1,0,0
35,35,1,1,1,0
37,100,1,0,0,0
43,45,0,0,0,0
52,30,1,0,0,0
38,40,1,0,0,0
31,80,0,0,0,0
22,15,0,0,0,0
33,130,1,0,1,0
37,15,0,0,0,0
42,5,1,0,0,0
54,60,0,0,1,0
27,25,0,1,0,0
38,45,1,0,1,0
41,20,0,0,0,0
29,50,0,0,1,0
23,35,0,1,0,0
48,100,1,0,1,0
54,32,1,1,0,0
31,14,0,0,0,0
38,96,1,0,1,0
39,25,1,0,1,0
44,27,1,1,0,0
41,75,1,0,0,0
26,55,1,0,1,0
47,20,0,0,0,0
41,20,1,1,0,1
46,40,0,1,0,0
27,63,1,0,0,0
41,125,1,0,1,0
42,7,0,0,1,0
33,216,1,0,0,0
50,60,1,0,0,0
40,85,1,0,0,0
42,35,0,0,0,0
39,25,0,1,1,0
42,35,0,0,0,0
38,20,0,0,1,0
45,35,1,1,1,1
29,41,0,1,0,0
58,70,1,0,0,0
51,24,0,0,0,0
29,40,0,0,0,0
29,20,0,0,0,1
27,450,1,0,1,0
55,65,1,1,0,0
37,40,0,0,0,0
27,28,0,0,0,1
31,28,1,0,0,0
39,30,1,1,1,0
38,30,1,0,0,0
33,18,0,0,0,1
33,15,1,0,0,0
61,40,0,0,0,0
39,150,0,0,1,0
39,30,1,0,0,0
37,18,0,0,0,0
39,100,1,1,1,0
41,25,0,0,0,0
22,20,0,0,0,0
59,25,0,1,1,1
34,21,0,0,0,1
30,22,0,0,0,0
28,45,0,0,0,0
33,15,0,1,0,1
33,60,1,0,1,0
35,150,1,0,1,1
61,22,0,0,0,0
41,20,0,0,1,0
